specification_description,work_category
ROAD WEATHER INFORMATION SYSTEM,SIGNALS
RADAR DETECTOR AND COMMUNICATION CABLE,SIGNALS
GROUND BOXES,SIGNALS
"ALL-WEATHER, PATTERNED THERMOPLASTIC PAVEMENT MARKINGS",TRAFFIC_CONTROL
REMOVE DYNAMIC MESSAGE SIGN SYSTEM,SIGNALS
SYSTEM INTEGRATION,SIGNALS
WORK ZONE PAVEMENT MARKINGS,TRAFFIC_CONTROL
AUTOMATIC PUMPING STATION,DRAINAGE
"CLEANING GUARDRAIL, ATTENUATORS AND ASSOCIATED DRAINAGE FLUMES",SAFETY
TREE AND BRUSH REMOVAL,LANDSCAPE
SOIL RETENTION BLANKETS,LANDSCAPE
CRACK ATTENUATING MIXTURE,PAVEMENT
SOIL DENSIFICATION AND RAISING CONCRETE SLABS WITH HIGH-DENSITY POLYURETHANE FOAM (HDPF),PAVEMENT
NEXT GENERATION CONCRETE SURFACE (NGCS) GRINDING,PAVEMENT
FULL-DEPTH RECLAMATION USING ASPHALT EMULSION (ROAD-MIXED),PAVEMENT
ELASTOMERIC BEARING PADS,STRUCTURES
REINFORCED CONCRETE LOW-HEAD PRESSURE PIPE,DRAINAGE
TEMPORARY DETOUR BRIDGE,TRAFFIC_CONTROL
ORNAMENTAL STEEL FENCE,SITE_WORK
NOISE WALL,STRUCTURES
FENDER SYSTEM,SAFETY
SOIL NAIL ANCHORS,EARTHWORK
ORNAMENTAL STEEL STRUCTURE (WALL- AND GROUND-MOUNTED),STRUCTURES
TUNNELS AND SHAFTS,STRUCTURES
SURFACE FINISHES FOR CONCRETE,STRUCTURES
CONCRETE STRUCTURE REPAIR,STRUCTURES
"JACKING, BORING, OR TUNELLING PIPE OR BOX",DRAINAGE
PIPE OR DRAINS,DRAINAGE
VEHICLE ARRESTING BARRIER,SAFETY
RAILROAD TRACK CONSTRUCTION,SITE_WORK
ONE-WAY TRAFFIC CONTROL,TRAFFIC_CONTROL
GATE (INSTALL),SITE_WORK
WIRE FENCE (SPECIAL),SITE_WORK
DYNAMIC MESSAGE SIGN SYSTEM,SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) FIBER OPTIC CABLE,SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) POLE WITH CABINET,SIGNALS
WIRELESS WRONG WAY DRIVER SYSTEM,SIGNALS
MULTIPOLYMER PAVEMENT MARKINGS (MPM),TRAFFIC_CONTROL
TRAFFIC DATA COLLECTION SYSTEM - VEHICLE CLASSIFICATION (TDCS-VC),SIGNALS
BLUETOOTH READER,SIGNALS
TERMINAL SERVER,SIGNALS
CCTV CAMERA POLE STRUCTURE,SIGNALS
REMOVE EXISTING CABLES,SIGNALS
FIBER HUB (IP),SIGNALS
VIDEO IMAGING AND RADAR VEHICLE DETECTION SYSTEM,SIGNALS
LED AESTHETIC LIGHT ASSEMBLY,SIGNALS
DYNAMIC LED CURVE WARNING SYSTEM,SIGNALS
DECORATIVE LIGHTING ASSEMBLY,SIGNALS
HIGHWAY TRAFFIC SIGNALS,SIGNALS
DIESEL ELECTRIC FERRY,SITE_WORK
PAVEMENT MARKING CLEANING,TRAFFIC_CONTROL
SANITARY SEWER,UTILITIES
BYPASS PUMPING,UTILITIES
SHEET PILING (MATERIALS ONLY),STRUCTURES
PRE-ENGINEERED BUILDING (METAL CANOPY),SITE_WORK
LANDSCAPE SOIL AMENDMENT,LANDSCAPE
SUBGRADE WIDENING,EARTHWORK
BULLDOZER WORK,EARTHWORK
SODDING FOR EROSION CONTROL,LANDSCAPE
ASPHALT TREATMENT (PLANT-MIXED),PAVEMENT
SPRAY APPLIED UNDERSEAL MEMBRANE,PAVEMENT
BONDING COURSE,PAVEMENT
SOIL DENSIFICATION AND RAISING ASPHALT PAVEMENT WITH HIGH DENSITY POLYURETHANE FOAM (HDPF),PAVEMENT
SEAL COAT,PAVEMENT
PLANING AND TEXTURING PAVEMENT,PAVEMENT
TRUSS BRIDGE,STRUCTURES
STENCILING PERMANENT STRUCTURE NUMBERS,STRUCTURES
PREFABRICATED PEDESTRIAN STEEL TRUSS BRIDGE SPANS,STRUCTURES
PRECAST POST-TENSIONED CONCRETE PAVEMENT,PAVEMENT
POST-TENSIONING,STRUCTURES
RIPRAP,DRAINAGE
JARRELL-SCHWERTNER WATER SUPPLY WATER UTILITIES,UTILITIES
STONE MASONRY (FACADE MASONRY),STRUCTURES
REMOVE AND REPLACE LANDSCAPE FENCE,LANDSCAPE
NETWORKING INTELLIGENT TRANSPORTATION SYSTEM (ITS) COMMUNICATION CABLE,SIGNALS
COFW EMERGENCY VEHICLE (EV) PREEMPT (INSTALLATION ONLY),SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) GROUND-MOUNTED CABINET,SIGNALS
DECORATIVE ILLUMINATION ASSEMBLY (PILASTER),SIGNALS
LIGHTNING PROTECTION SYSTEM,SIGNALS
PORTABLE TRAFFIC SIGNAL,SIGNALS
EXISTING TRAFFIC MANAGEMENT EQUIPMENT,SIGNALS
FISH EYE DETECTION SYSTEM (FEDS),SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) MULTI-DUCT CONDUIT,SIGNALS
PEDESTRIAN ILLUMINATION,SIGNALS
ROADWAY WEATHER INFORMATION SYSTEM,SIGNALS
LINEAR DELINEATION SYSTEM,TRAFFIC_CONTROL
SOLAR POWERED LED ROADWAY LUMINAIRE ASSEMBLIES,SIGNALS
PEDESTRIAN DETECTORS AND VEHICLE LOOP DETECTORS,SIGNALS
HORIZONTAL DIRECTIONAL DRILLING,UTILITIES
WATER AND WASTEWATER MAIN REPLACEMENTS AND ADJUSTMENTS,UTILITIES
METAL RAIL REPAIR,STRUCTURES
CARBON FIBER REINFORCED POLYMER (CFRP),STRUCTURES
"ASPHALTS, OILS, AND EMULSIONS (MATERIALS ONLY)",PAVEMENT
"HERBICIDE, INSECTICIDES, AND ADDITIVES (MATERIALS ONLY)",LANDSCAPE
IRRIGATION SYSTEM,LANDSCAPE
LANDSCAPE PLANTING,LANDSCAPE
ASPHALT-STABILIZED FLEXIBLE BASE,PAVEMENT
FLEXIBLE BASE,PAVEMENT
RAISING AND UNDERSEALING CONCRETE SLABS WITH FOAM SYSTEMS,PAVEMENT
DECOMPOSED GRANITE PAVING MATERIALS,PAVEMENT
BALLASTED TRACK CONSTRUCTION AND REHABILITATION,SITE_WORK
POLYESTER POLYMER CONCRETE BRIDGE DECK OVERLAY,STRUCTURES
BRIDGE EXPANSION JOINTS,STRUCTURES
BIRD DETERRENT,LANDSCAPE
MOVEABLE CONCRETE TRAFFIC BARRIER SYSTEM,SAFETY
MOVEABLE TRAFFIC BARRIER,SAFETY
RELOCATE FIRE HYDRANT,UTILITIES
WATER VALVE ADJUSTMENTS,UTILITIES
RUBBERIZED SURFACING,PAVEMENT
CABLE BARRIER SYSTEM,SAFETY
RIDE QUALITY FOR PAVEMENT SURFACES,PAVEMENT
DEAD END ROADWAY BARRICADE,TRAFFIC_CONTROL
AT&T TELECOMMUNICATION SYSTEM,UTILITIES
AUTOMATED PORTABLE SMART TRAFFIC MONITORING SYSTEM,SIGNALS
ETHERNET CABLE AND CONNECTORS,SIGNALS
DRIVEWAY ASSISTANCE DEVICE (DAD) SYSTEM,SIGNALS
DRIVER FEEDBACK SPEED SIGN ASSEMBLY,SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) GROUND BOXES,SIGNALS
HIGH MAST ASSEMBLY FOR INTELLIGENT TRAFFIC SYSTEM (ITS),SIGNALS
PORTABLE ROADWAY ILLUMINATION,SIGNALS
OVERHEAD SIGN SUPPORTS,TRAFFIC_CONTROL
ARCHITECTURAL LIGHTING ASSEMBLY,SIGNALS
SIGN WALKWAYS,TRAFFIC_CONTROL
POTHOLE REPAIR,PAVEMENT
JANITORIAL MAINTENANCE,SITE_WORK
SANITARY SEWERS,UTILITIES
TRAVEL INFORMATION CENTER,SITE_WORK
HIGH PRESSURE WATERBLASTING SYSTEM,SITE_WORK
MISCELLANEOUS STATE USE WORK,SITE_WORK
WATER UTILITIES,UTILITIES
CLEANING AND SEALING JOINTS AND CRACKS (ASPHALT CONCRETE),PAVEMENT
CLEANING AND SEALING JOINTS AND CRACKS (ASPHALT PAVEMENT),PAVEMENT
AUTOMATIC PUMP STATION,DRAINAGE
ATTENUATOR REPAIR,SAFETY
TREATMENT FOR ASR-AFFECTED CONCRETE,STRUCTURES
FLOWABLE BACKFILL (MATERIALS ONLY),EARTHWORK
FLEXIBLE BASE (MATERIALS ONLY),PAVEMENT
HOT-MIX COLD-LAID ASPHALT CONCRETE PAVEMENT (MATERIAL ONLY),PAVEMENT
WEIGH-IN-MOTION AND CLASSIFICATION PARTS (MATERIALS ONLY),SIGNALS
PRE-ENGINEERED BUILDINGS,SITE_WORK
"IRRIGATION WELLS, GATES, AND VALVES",LANDSCAPE
EMULSIFIED ASPHALT TREATMENT (ROAD-MIXED),PAVEMENT
UNDERSEAL COURSE,PAVEMENT
PRIME COAT,PAVEMENT
STONE-MATRIX ASPHALT,PAVEMENT
REPAIR OF CONCRETE PAVEMENT,PAVEMENT
INWATER COLUMN OR PILING ENCAPSULATION,STRUCTURES
DRILLED SHAFT FOUNDATIONS,STRUCTURES
PNEUMATICALLY PACED CONCRETE,PAVEMENT
CORRUGATED METAL PIPE,DRAINAGE
REINFORCED CONCRETE PIPE,DRAINAGE
IMPERMEABLE LINER,DRAINAGE
SIDEWALKS,SITE_WORK
INTELLIGENT TRANSPORTATION SYSTEM (ITS) RADAR VEHICLE SENSING DEVICE,SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) RADIO,SIGNALS
TEMPORARY SPEED MONITORING SYSTEM,SIGNALS
INSTALLATION OF ITS NETWORK EQUIPMENT,SIGNALS
WRONG WAY DRIVER AI VISUAL SENSOR CAMERA AND EQUIPMENT,SIGNALS
INCIDENT MANAGEMENT,TRAFFIC_CONTROL
CCTV ON HIGH MAST ILLUMINATION ASSEMBLY,SIGNALS
DRUM SIGN ASSEMBLY,TRAFFIC_CONTROL
HIGH MAST ILLUMINATION ASSEMBLIES,SIGNALS
TEMPORARY ROADWAY ILLUMINATION,SIGNALS
HIGHWAY TRAFFIC SIGNALS (CITY OF FORT WORTH),SIGNALS
LED DECORATIVE ILLUMINATION ASSEMBLY,SIGNALS
DECORATIVE WALL LIGHTING (DOWNLIGHT),SIGNALS
RAIL (HANDRAIL) (SPL),STRUCTURES
RETROREFLECTORIZED PAVEMENT MARKINGS,TRAFFIC_CONTROL
PEDESTAL POLE ASSEMBLIES,SIGNALS
ACCESS CONTROL SYSTEM SOFTWARE AND FIRMWARE,SIGNALS
PERFORMANCE BASED OPERATIONS AND MAINTENANCE OF MANAGED LANES,SIGNALS
BRIDGE SUBSTRUCTURE CLEANING,STRUCTURES
SANITARY SEWER AND WATER LINE,UTILITIES
VORTEX DROP AND VENTILATION PIPE,DRAINAGE
PREPARING RIGHT OF WAY,EARTHWORK
LANDSCAPE MAINTENANCE,LANDSCAPE
LANDSCAPE TREATMENT,LANDSCAPE
DISPOSAL OF WELLS,UTILITIES
EMBANKMENT,EARTHWORK
FERTILIZER,LANDSCAPE
SNOW AND ICE CONTROL,SITE_WORK
FILTER FABRIC,LANDSCAPE
RUBBLIZING EXISTING CONCRETE PAVEMENT,PAVEMENT
THIN BONDED FRICTION COURSES,PAVEMENT
SOIL DENSIFICATION AND RAISING CONCRETE SLABS WITH HIGH DENSITY POLYURETHANE FOAM (HDPF),PAVEMENT
FOG SEAL,PAVEMENT
LIMESTONE ROCK ASPHALT PAVEMENT,PAVEMENT
DENSE-GRADED HOT-MIX ASPHALT (SMALL QUANTITY),PAVEMENT
CLEANING AND SEALING JOINTS,PAVEMENT
ADJUSTING STEEL SHOES,STRUCTURES
STEEL FENCE,SITE_WORK
ASBESTOS ABATEMENT,SITE_WORK
LEAD-CONTAINING COATING MANAGEMENT,STRUCTURES
STONE MASONRY REPAIR,STRUCTURES
VERTICAL AXIAL OR MIXED FLOW PUMP STATION,DRAINAGE
LEAD CONTAINING COATING MANAGEMENT,STRUCTURES
CONSTRUCTION ADMINISTRATIVE SOFTWARE,SITE_WORK
VIDEO IMAGING VEHICLE DETECTION SYSTEM,SIGNALS
PREVENTATIVE MAINTENANCE OF SOLAR POWERED ROADSIDE FLASHING BEACON ASSEMBLIES,SIGNALS
BLUETOOTH DETECTION SYSTEM,SIGNALS
LED ROADSIDE SIGN,TRAFFIC_CONTROL
INTELLIGENT TRANSPORTATION SYSTEM (ITS) MEDIA CONVERTER,SIGNALS
TEMPORARY CONSTRUCTION EQUIPMENT ALERT SYSTEM,TRAFFIC_CONTROL
FULL-COLOR DYNAMIC MESSAGE SIGN SYSTEM,SIGNALS
ETHERNET SWITCH (FURNISH & INSTALL),SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) FIBERGLASS CONDUIT,SIGNALS
TELECOMMUNICATION SYSTEM,UTILITIES
LED PEDESTRIAN ILLUMINATION ASSEMBLY,SIGNALS
VEHICLE AND PEDESTRIAN SIGNAL HEADS,SIGNALS
MAINTENANCE OF TRAFFIC SIGNALS,SIGNALS
GROUNDS MAINTENANCE,LANDSCAPE
CURB INLET SEDIMENT CONTROL DEVICE,LANDSCAPE
AUTOMATIC STORM WATER PUMP STATION,DRAINAGE
SLIP LINING PIPE OR BOX CULVERTS,DRAINAGE
"MECHANICAL, ELECTRICAL, PLUMBING AND WASTEWATER SYSTEMS UPGRADE",UTILITIES
CLEANING AND SWEEPING HIGHWAYS,SITE_WORK
LIMESTONE ROCK ASPHALT (MATERIALS ONLY),PAVEMENT
Traffic Paint and Glass Beads (Materials Only),TRAFFIC_CONTROL
LIME (MATERIALS ONLY),EARTHWORK
LOOSE AGGREGATE FOR GROUNDCOVER,LANDSCAPE
DECOMPOSED GRANITE,LANDSCAPE
FULL-DEPTH RECLAMATION USING FOAMED ASPHALT (ROAD-MIXED),PAVEMENT
INTERLOCKING ARTICULATING CONCRETE BLOCKS,DRAINAGE
TRENCH EXCAVATION PROTECTION,EARTHWORK
WALL WITH METAL FENCE AND PANELS,STRUCTURES
PRESSURE-INJECTED CORROSION MITIGATION OF POST-TENSIONED CABLES,STRUCTURES
SPRAY-APPLIED PIPE LINER (SAPL),DRAINAGE
PRECAST LONG SPAN CULVERT STRUCTURES,DRAINAGE
ROCK NAIL ANCHORS,EARTHWORK
PNEUMATICALLY PLACED CONCRETE,PAVEMENT
RAILING,STRUCTURES
"FRAMES, GRATES, RINGS AND COVERS",DRAINAGE
LINEAR DRAINS,DRAINAGE
MOBILIZATION,SITE_WORK
STAINLESS STEEL FLAP GATE,DRAINAGE
SUBSURFACE UTILITY LOCATE,UTILITIES
PERMANENT CONCRETE TRAFFIC BARRIER,SAFETY
DART TRACKS AND SYSTEMS,SITE_WORK
METAL BUILDING,SITE_WORK
REMOVING METAL BEAM GUARD FENCE,SAFETY
MAILBOX ASSEMBLIES,TRAFFIC_CONTROL
ILLUMINATION MAINTENANCE,SIGNALS
LED INTERNALLY LIGHTED STREET NAME SIGNS,TRAFFIC_CONTROL
SOLAR POWERED LED ROADSIDE SIGN,TRAFFIC_CONTROL
CLOSED CIRCUIT TELEVISION (CCTV) FIELD EQUIPMENT,SIGNALS
LONGITUDINAL PREFABRICATED PAVEMENT MARKINGS (PPM) WITH WARRANTY,TRAFFIC_CONTROL
MULTIPOLYMER PAVEMENT MARKINGS (MPM) WITH WARRANTY,TRAFFIC_CONTROL
RECESSED PAVEMENT MARKERS,TRAFFIC_CONTROL
INSTALLATION OF TRAFFIC MANAGEMENT EQUIPMENT,SIGNALS
WRONG WAY DRIVER DETECTION SYSTEM,SIGNALS
LARGE ROADSIDE SIGN ASSEMBLIES,TRAFFIC_CONTROL
REFLECTORIZED PAVEMENT MARKINGS WITH RETROREFLECTIVE REQUIREMENTS FOR SEAL COAT PROJECTS,TRAFFIC_CONTROL
COFW CELLULAR ROUTER (INST ONLY),SIGNALS
SINGLE LINE DYNAMIC MESSAGE SIGN SYSTEM,SIGNALS
MODIFYING EXISTING ELECTRICAL SERVICES,SIGNALS
RESIDENTIAL DRIVEWAY TEMPORARY SIGNAL (RDTS) SYSTEM,SIGNALS
TEMPORARY INCIDENT DETECTION AND SURVEILLANCE SYSTEM,SIGNALS
ROADWAY ILLUMINATION POLE ASSEMBLIES,SIGNALS
ADAPTIVE TRAFFIC SIGNAL CONTROL SYSTEM,SIGNALS
LOOP DETECTOR REPAIR OR REPLACEMENT,SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) EQUIPMENT,SIGNALS
SOLAR POWERED RECTANGULAR RAPID FLASHING BEACONS (RRFB),SIGNALS
HARDENED ETHERNET SWITCH TYPE 2,SIGNALS
CELLULAR MODEM FOR TPAS PROJECT,SIGNALS
TEMPORARY OVERHEAD ELECTRICAL WIRING SYSTEM,SIGNALS
PAVEMENT SURFACE PREPARATION FOR MARKINGS,TRAFFIC_CONTROL
MOBILIZATION OF MARINE OPERATIONS AND SYSTEM REPAIR,SITE_WORK
"HIGH PRESSURE WATER BLASTING SYSTEM 6""",UTILITIES
WATER FILLED BARRIER,SAFETY
CLEANING AND SEALING JOINTS AND CRACKS (CONCRETE PAVEMENT),PAVEMENT
BRIDGE STRUCTURE CLEANING,STRUCTURES
FACILITY AND BUILDINGS AT PRESIDIO RAIL CROSSING,SITE_WORK
CONCRETE BEAM REPAIR,STRUCTURES
TRAFFIC PAINT AND GLASS BEADS (MATERIALS ONLY),TRAFFIC_CONTROL
HYDRAULIC CEMENT (MATERIALS ONLY),PAVEMENT
DELINEATOR AND OBJECT MARKER ASSEMBLIES (MATERIALS ONLY),TRAFFIC_CONTROL
GSA ILLUMINATION ASSEMBLIES,SIGNALS
WILDFLOWER SEEDING,LANDSCAPE
CEMENT TREATMENT (PLANT-MIXED),PAVEMENT
PERMEABLE FRICTION COURSE (PFC),PAVEMENT
FULL-DEPTH REPAIR OF CONCRETE PAVEMENT,PAVEMENT
THERMAL INTEGRITY PROFILER (TIP) TESTING OF DRILLED SHAFTS,STRUCTURES
FLEX VALVE (SLIP-TYPE),DRAINAGE
ULTRA-HIGH PERFORMANCE CONCRETE (UHPC),STRUCTURES
DECK DRAINS,DRAINAGE
TIMBER FOR STRUCTURES,STRUCTURES
TRAFFIC CONTROL FLAGGING,TRAFFIC_CONTROL
STONE MASONRY (ROCK WALL),STRUCTURES
CONSTRUCTION PERIMETER FENCE WITH SCREEN,SITE_WORK
ACCESS SHAFT CONSTRUCTION,STRUCTURES
CIVIL AND MECHANICAL SPECIFICATIONS FOR STORMWATER PUMP STATION,DRAINAGE
SETTLEMENT GAUGE WITH PLATES,EARTHWORK
"CONCRETE CURB, GUTTER, AND COMBINED CURB AND GUTTER",PAVEMENT
"INTERSECTIONS, DRIVEWAYS, AND TURNOUTS",PAVEMENT
METAL BEAM GUARD FENCE,SAFETY
CRASH CUSHION ATTENUATORS,SAFETY
INSTALLATION OF CELLULAR MODEM,SIGNALS
REMOVE OR RELOCATE HIGH MAST LIGHTING ASSEMBLIES,SIGNALS
"PREPARATION OF EXISTING CONDUITS, GROUND BOXES OR MANHOLES",SIGNALS
BACKLIT LED LEGEND ROADSIDE SIGN,TRAFFIC_CONTROL
OVERHEAD SIGNS,TRAFFIC_CONTROL
LED HIGH MAST ILLUMINATION POLE AND ASSEMBLY,SIGNALS
LED INTERNALLY ILLUMINATED STREET NAME SIGNS,TRAFFIC_CONTROL
FIBER OPTIC TRANSCEIVER,SIGNALS
TRUCK MOUNTED ATTENUATOR (TMA) AND TRAILER ATTENUATOR (TA),SAFETY
CELLULAR ROUTER,SIGNALS
LED UNDERPASS LIGHT ASSEMBLY,SIGNALS
RAISED PAVEMENT MARKERS,TRAFFIC_CONTROL
TEMPORARY TRAFFIC SIGNALS,SIGNALS
WATER MAINS AND SANITARY SEWERS,UTILITIES
REPAIR OF ULTRA-THIN AND THIN WHITE TOPPING,PAVEMENT
FERRY LANDING MAINTENANCE,SITE_WORK
DRY DOCKING 28 CAR DIESEL ELECTRIC FERRYBOATS,SITE_WORK
"SAFETY REST AREA MAINTENANCE, REPAIR AND OPERATION",SITE_WORK
FIBER-REINFORCED POLYMER PATCHING MATERIAL,PAVEMENT
GRAFFITI REMOVAL AND ANTI-GRAFFITI COATING,SITE_WORK
GUARD FENCE REPAIR,SAFETY
CARBON FIBER REINFORCED POLYMER,STRUCTURES
DURATION SPECIFIC (A+B),SITE_WORK
WINTER WEATHER MATERIALS (MATERIALS ONLY),SAFETY
CONCRETE SAND (MATERIALS ONLY),EARTHWORK
LANDSCAPE AMENITY (INTERPRETIVE SIGN),LANDSCAPE
LANDSCAPE AMENITY,LANDSCAPE
REMOVING TREATED AND UNTREATED BASE AND ASPHALT PAVEMENT,PAVEMENT
TOPSOIL,LANDSCAPE
ROADSIDE AMENITY,SITE_WORK
ULTRA-HIGH-PRESSURE WATER CUTTING TREATMENT,STRUCTURES
REINFORCED PAVING MAT FOR ASPHALT PAVEMENT OVERLAYS,PAVEMENT
PAVEMENT TEXTURING,PAVEMENT
POLYMERIC COMPOSITE PAVING GEOGRID FOR ASPHALT PAVEMENT OVERLAY REINFORCEMENT,PAVEMENT
STEEL BRIDGE ZONE PAINTING,STRUCTURES
PREFABRICATED SHADE STRUCTURE,SITE_WORK
CONCRETE SUPERSTRUCTURES,STRUCTURES
PRECAST PRESTRESSED CONCRETE STRUCTURAL MEMBERS,STRUCTURES
"FRAMES, GRATES, RINGS, AND COVERS",DRAINAGE
ADJUSTING MANHOLES AND INLETS,DRAINAGE
CLEANING EXISTING CULVERTS,DRAINAGE
RAISING EXISTING STRUCTURES,STRUCTURES
CONCRETE SCUPPER,DRAINAGE
SAFETY REST AREA,SITE_WORK
LANDSCAPE PAVERS,LANDSCAPE
FIBER OPTIC VIDEO DATA TRANSMISSION EQUIPMENT,SIGNALS
ETHERNET SWITCH,SIGNALS
EMBEDDED LED DYNAMIC MESSAGE SIGN SYSTEM,SIGNALS
LANE-USE CONTROL SIGNAL SYSTEM EQUIPMENT,SIGNALS
VANDALISM PROTECTION PANELS,SIGNALS
TRAFFIC SIGNALS,SIGNALS
TREATED TIMBER POLES,SIGNALS
COFW CELLULAR ROUTER (INSTALLATION ONLY),SIGNALS
LED ILLUMINATION ASSEMBLY,SIGNALS
REMOVAL AND PROPER DISPOSAL OF DRIFTWOOD AND DEBRIS,SITE_WORK
WATER MAINS,UTILITIES
DREDGING AND MOBILIZATION,SITE_WORK
PREPACKAGED CONCRETE (MATERIALS ONLY),PAVEMENT
REPAIR OF SPALLING IN CONCRETE PAVEMENT,PAVEMENT
STORMWATER TREATMENT UNIT - MEMBRANE FILTER,DRAINAGE
LITTER REMOVAL,SITE_WORK
WATER LINE CONSTRUCTION AND ADJUSTMENTS,UTILITIES
PICNIC AREA MAINTENANCE,SITE_WORK
POST AND CABLE FENCE,SITE_WORK
CONCRETE RAIL REPAIR,STRUCTURES
WINTER WEATHER MATERIALS (MATERIALS ONLY): VOID - DO NOT USE,SAFETY
FLEXIBLE BASE (MATERIALS),PAVEMENT
DENSE-GRADED HOT-MIX ASPHALT (MATERIALS ONLY),PAVEMENT
RADAR VEHICLE DETECTION SYSTEM COMPONENTS FOR SIGNALIZED INTERSECTION CONTROL (MATERIALS ONLY),SIGNALS
SAND (MATERIAL ONLY),EARTHWORK
BLADING,EARTHWORK
ROAD GRADER WORK,EARTHWORK
TIED-CONCRETE BLOCK EROSION CONTROL MAT,LANDSCAPE
COLD IN-PLACE RECYCLING (CIR) USING ASPHALT EMULSION,PAVEMENT
PENETRATING CONCRETE SURFACE TREATMENT,PAVEMENT
BRIDGE DECK OVERLAYS,STRUCTURES
AMPHIBIAN AND REPTILE EXCLUSION FENCE,LANDSCAPE
DRAGNET TRUCK ARRESTING SYSTEM,SAFETY
TRUCK-MOUNTED ATTENUATOR (TMA) AND TRAILER ATTENUATOR (TA),SAFETY
REMOVE AND RESET EXISTING PRECAST CONCRETE WHEEL STOPS,SITE_WORK
REMOVE AND RELOCATE FIRE HYDRANTS,UTILITIES
TRENCHLESS EXCAVATION FOR WATER AND WASTEWATER UTILITIES,UTILITIES
ITS SYSTEM SUPPORT EQUIPMENT,SIGNALS
NETWORKING INTELLIGENT TRANSPORTATION SYSTEM (ITS) COMMUNICATIONS CABLE,SIGNALS
BATTERY BACK-UP SYSTEM FOR SIGNAL CABINETS,SIGNALS
RADAR ADVANCE DETECTION DEVICE (INSTALLATION ONLY),SIGNALS
"SLDMS INSTALLATION, RELOCATION, AND REMOVAL",SIGNALS
LONGITUDINAL PREFABRICATED PAVEMENT MARKINGS WITH WARRANTY,TRAFFIC_CONTROL
LED NEIGHBORHOOD FRIENDLY HIGH MAST (NFHM) ILLUMINATION ASSEMBLIES,SIGNALS
CONCRETE ENCASED DUCT BANK,SIGNALS
UNDERGROUND CABLE VAULT,SIGNALS
INTELLIGENT TRANSPORTATION SYSTEM (ITS) GROUND BOX,SIGNALS
LED WRONG WAY DRIVER SYSTEM,SIGNALS
RECTANGULAR RAPID FLASHING BEACONS (RRFB),SIGNALS
SOLAR POWERED DRIVER FEEDBACK SPEED SIGN ASSEMBLY (PED POLE MOUNT),SIGNALS
JOINT DUCT BANK,SIGNALS
PREFABRICATED PAVEMENT MARKINGS,TRAFFIC_CONTROL
PREFABRICATED PAVEMENT MARKINGS AND RUMBLE STRIPS,TRAFFIC_CONTROL
TRAFFIC SIGNAL POLE ASSEMBLIES (STEEL),SIGNALS
